ID,Location,Specific Location,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Lux,Estate,rank,Price
0,ajah,"6, abimbola owodunni close, seaside estate, off badore road, ajah, lekki, lagos. badore ajah lagos",7,4,3,4,0,0,0,1,5,1200000
1,ajah,badore ajah lagos,9,5,4,5,1,1,0,1,8,3000000
2,ajah,lekki palm city ajah lagos,11,6,5,6,1,1,0,1,9,4000000
3,ajah,- thomas estate ajah lagos,9,5,4,5,1,1,1,1,8,5000000
4,ajah,ajah lagos,9,5,4,5,1,1,0,1,8,3000000
5,ajah,allied garden estate badore ajah lagos,5,3,2,3,0,0,0,1,4,900000
6,ajah,silver point estate badore ajah lagos,5,3,2,3,0,0,0,1,4,900000
7,ajah,"  immediately after shoprite, sangotedo, lekki, lagos crown estate ajah lagos",9,5,4,5,1,1,0,1,8,3000000
8,ajah,by general paint olokonla ajah lagos,7,4,3,4,1,1,1,1,5,2500000
9,ajah,virgo estate badore ajah lagos,5,3,2,3,0,0,0,1,4,900000
10,ajah,unity estate badore ajah lagos,8,4,4,4,0,0,0,1,5,1200000
11,ajah,marshyhill eatate ado ajah lagos,7,4,3,4,0,0,0,1,5,1200000
12,ajah,happy land estate olokonla ajah lagos,9,5,4,5,1,1,0,1,8,3000000
13,ajah,marshyhill estate ado ajah lagos,7,4,3,4,0,0,0,1,5,1200000
14,ajah,inside estate badore ajah lagos,2,1,1,1,0,0,0,1,1,400000
15,ajah,badore ajah lagos,2,1,1,1,0,0,0,1,1,400000
16,ajah,- ado ajah lagos,2,1,1,1,0,0,0,1,1,400000
17,ajah,badore ajah lagos,3,2,1,2,1,1,0,1,4,800000
18,ajah,grenadine estate sangotedo ajah lagos,7,4,3,4,1,0,0,1,5,1400000
19,ajah,"  grenadine estate, by shoprite sangotedo ajah lagos",7,4,3,4,1,1,1,1,5,1700000
20,ajah,ado ajah lagos,7,4,3,4,1,0,0,1,5,1400000
21,ajah,"  abijo gra, lekki, lagos abijo ajah lagos",14,6,8,6,1,1,0,1,9,4000000
22,ajah,happy land estate olokonla ajah lagos,7,4,3,4,1,1,1,1,5,2000000
23,ajah,by blenco supermarket sangotedo ajah lagos,2,1,1,1,1,1,1,1,1,550000
24,ajah,mrs ajah lagos,8,4,4,4,0,0,0,1,5,1200000
25,ajah,"  salvation estate, off addo/langbasa road, ajah lagos",4,3,1,3,1,1,0,1,4,1000000
26,ajah,royal gardens ajiwe ajah lagos,11,6,5,6,1,1,0,1,9,4000000
27,ajah,badore ajah lagos,8,4,4,4,0,0,0,1,5,1200000
28,ajah,- badore ajah lagos,2,1,1,1,0,0,0,1,1,400000
29,ajah,"  royal garden estate, ajiwe ajah lagos",11,6,5,6,1,1,1,1,9,5000000
30,ajah,ado ajah lagos,9,5,4,5,1,1,0,1,8,3000000
31,ajah,ado ajah lagos,10,6,4,6,1,1,0,1,9,4000000
32,ajah,awoyaya ajah lagos,2,1,1,1,0,0,0,1,1,400000
33,ajah,infinity estate ado ajah lagos,8,4,4,4,0,0,0,1,5,1200000
34,ajah,"  mobil estate, ilaje off northwest filling station ilaje ajah lagos",9,5,4,5,1,1,0,1,8,3000000
35,ajah,- thomas estate ajah lagos,6,3,3,3,1,1,1,1,4,1500000
36,ajah,cooperative estate badore ajah lagos,7,4,3,4,0,0,0,1,5,1200000
37,ajah,mrs ajah lagos,4,2,2,2,1,1,0,1,4,800000
38,ajah,mobile road ilaje ajah lagos,5,3,2,3,1,1,1,1,4,1200000
39,ajah,silver point estate badore ajah lagos,5,3,2,3,1,1,1,1,4,2300000
