ID,Location,Specific Location,LocationID,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Luxury,Estate,Rank,Price
0,Ajah,"6, abimbola owodunni close, seaside estate, off badore road, ajah, lekki, lagos. badore ajah lagos",1,7,4,3,4,0,0,0,1,5,12600000
1,Ajah,badore ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
2,Ajah,lekki palm city ajah lagos,1,11,6,5,6,1,1,0,1,9,42000000
3,Ajah,- thomas estate ajah lagos,1,9,5,4,5,1,1,1,1,8,52500000
4,Ajah,ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
5,Ajah,allied garden estate badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
6,Ajah,silver point estate badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
7,Ajah,"  immediately after shoprite, sangotedo, lekki, lagos crown estate ajah lagos",1,9,5,4,5,1,1,0,1,8,31500000
8,Ajah,by general paint olokonla ajah lagos,1,7,4,3,4,1,1,1,1,5,26250000
9,Ajah,virgo estate badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
10,Ajah,unity estate badore ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
11,Ajah,marshyhill eatate ado ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
12,Ajah,happy land estate olokonla ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
13,Ajah,marshyhill estate ado ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
14,Ajah,inside estate badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
15,Ajah,badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
16,Ajah,- ado ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
17,Ajah,badore ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
18,Ajah,grenadine estate sangotedo ajah lagos,1,7,4,3,4,1,0,0,1,5,14700000
19,Ajah,"  grenadine estate, by shoprite sangotedo ajah lagos",1,7,4,3,4,1,1,1,1,5,17850000
20,Ajah,ado ajah lagos,1,7,4,3,4,1,0,0,1,5,14700000
21,Ajah,"  abijo gra, lekki, lagos abijo ajah lagos",1,14,6,8,6,1,1,0,1,9,42000000
22,Ajah,happy land estate olokonla ajah lagos,1,7,4,3,4,1,1,1,1,5,21000000
23,Ajah,by blenco supermarket sangotedo ajah lagos,1,2,1,1,1,1,1,1,1,1,5775000
24,Ajah,mrs ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
25,Ajah,"  salvation estate, off addo/langbasa road, ajah lagos",1,4,3,1,3,1,1,0,1,4,10500000
26,Ajah,royal gardens ajiwe ajah lagos,1,11,6,5,6,1,1,0,1,9,42000000
27,Ajah,badore ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
28,Ajah,- badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
29,Ajah,"  royal garden estate, ajiwe ajah lagos",1,11,6,5,6,1,1,1,1,9,52500000
30,Ajah,ado ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
31,Ajah,ado ajah lagos,1,10,6,4,6,1,1,0,1,9,42000000
32,Ajah,awoyaya ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
33,Ajah,infinity estate ado ajah lagos,1,8,4,4,4,0,0,0,1,5,12600000
34,Ajah,"  mobil estate, ilaje off northwest filling station ilaje ajah lagos",1,9,5,4,5,1,1,0,1,8,31500000
35,Ajah,- thomas estate ajah lagos,1,6,3,3,3,1,1,1,1,4,15750000
36,Ajah,cooperative estate badore ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
37,Ajah,mrs ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
38,Ajah,mobile road ilaje ajah lagos,1,5,3,2,3,1,1,1,1,4,12600000
39,Ajah,silver point estate badore ajah lagos,1,5,3,2,3,1,1,1,1,4,24150000
40,Ajah,abijo ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
41,Ajah,alpha bus stop sangotedo ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
42,Ajah,inside estate ado ajah lagos,1,6,3,3,3,0,0,0,1,4,9450000
43,Ajah,inside estate badore ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
44,Ajah,ado ajah lagos,1,4,2,2,2,1,1,0,1,4,8400000
45,Ajah,badore ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
46,Ajah,shoprite monastery road sangotedo ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
47,Ajah,good news estate sangotedo ajah lagos,1,7,4,3,4,1,0,0,1,5,13650000
48,Ajah,diamond estate sangotedo ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
49,Ajah,oke ira kekere ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
50,Ajah,harmony estate ado ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
53,Ajah,abraham adesanya estate ajah lagos,1,6,3,3,3,1,1,0,1,4,10500000
54,Ajah,marshy hill estate akins ado ajah lagos,1,2,1,1,1,1,1,1,1,1,5775000
55,Ajah,general paint alasia ajah ajah lagos,1,9,5,4,5,1,1,0,1,8,31500000
56,Ajah,thomas estate ajah thomas estate ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
57,Ajah,marina estate behind unity estate badore ajah badore ajah lagos,1,3,2,1,2,1,1,0,1,4,8400000
58,Ajah,marshy hill estate ado ajah lagos,1,2,1,1,1,0,0,0,1,1,4200000
59,Ajah,jubril estate olokonla just by lagos business school ajah olokonla ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
60,Ajah,good news estate sangotedo ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
61,Ajah,- abraham adesanya estate ajah lagos,1,2,1,1,1,1,0,0,1,1,4725000
62,Ajah,ilaje opposite vgc ilaje ajah lagos,1,7,4,3,4,1,1,1,1,5,16800000
63,Ajah,good news estate sangotedo sangotedo ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
64,Ajah,in an estate. badore ajah lagos,1,5,3,2,3,0,0,0,1,4,9450000
65,Ajah,marshy hill estate ado ajah lagos,1,7,4,3,4,0,0,0,1,5,12600000
66,Ajah,by abraham adesanya estate lekki gardens estate ajah lagos,1,7,4,3,4,1,1,1,1,5,16800000
